Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Stacking_BayesianRidgeMeta,True,0.5461177989130768,0.47566829129291055,59.82212820412661,47.388284027258045,0.25185013469361356,0.15414101572823138,"{'extratrees__extratreesregressor__n_estimators': 100, 'final_estimator__alpha_1': 1e-06, 'final_estimator__lambda_1': 1e-06, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 30, 'ridge__ridge__alpha': 10.0}",
Stacking_LassoMeta,True,0.562194997258245,0.4328825500291098,62.215028352591894,49.3622545818572,0.2595153209379605,0.16030669505949985,"{'extratrees__extratreesregressor__max_depth': None, 'extratrees__extratreesregressor__n_estimators': 50, 'final_estimator__alpha': 10.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 20, 'ridge__ridge__alpha': 10.0}",
Stacking_RidgeMeta,True,0.556967319822783,0.43090063709317916,62.32364538477036,49.622486598453584,0.26056905861671864,0.1605865637329821,"{'extratrees__extratreesregressor__max_depth': 10, 'extratrees__extratreesregressor__n_estimators': 200, 'final_estimator__alpha': 10.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 20, 'ridge__ridge__alpha': 0.1}",
Stacking_ElasticNetMeta,True,0.5545502533408628,0.4281254016166093,62.475422429849644,49.655662694199464,0.2597288530993774,0.16097764089113537,"{'final_estimator__alpha': 1.0, 'final_estimator__l1_ratio': 0.1, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 20, 'ridge__ridge__alpha': 1.0}",
Stacking_CatBoostMeta,True,0.563210655551004,0.41540022878615535,63.16668979909149,51.895666299549525,0.2721570819314489,0.16275879876086444,"{'final_estimator__depth': 5, 'final_estimator__iterations': 200, 'final_estimator__learning_rate': 0.05, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 60, 'ridge__ridge__alpha': 10.0}",
Stacking_MLPMeta,True,0.5425940875051578,0.412462572896216,63.325199497302,51.5435284311524,0.25912618781942925,0.16316722364674568,"{'extratrees__extratreesregressor__n_estimators': 100, 'final_estimator__alpha': 0.0001, 'final_estimator__hidden_layer_sizes': (50,), 'gboost__gradientboostingregressor__learning_rate': 0.1, 'gboost__gradientboostingregressor__max_depth': 3, 'gboost__gradientboostingregressor__n_estimators': 20, 'ridge__ridge__alpha': 10.0}",
Stacking_DiverseBaseModels,True,0.5859990198699849,0.13078054445059217,77.02354752479943,63.98290515072322,0.34115242289339615,0.19846314744859422,"{'final_estimator__alpha': 10.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 20, 'mlp__mlpregressor__alpha': 0.01, 'mlp__mlpregressor__hidden_layer_sizes': (50,), 'svr__svr__C': 100, 'svr__svr__kernel': 'rbf'}",
