Feature,Mean Importance,Model
Scaled_Voltage window (V),6.153085391084361,Ridge
Scaled_Specific surface area (m2/g),44.20480569110209,Ridge
Scaled_Pore size (nm),13.886464431295801,Ridge
Scaled_Id/Ig,12.92032848854183,Ridge
Scaled_N (at. %),14.088344614012852,Ridge
Scaled_O (at. %),9.298384011865299,Ridge
Scaled_Voltage window (V),6.418270014560498,Lasso
Scaled_Specific surface area (m2/g),47.833347569957205,Lasso
Scaled_Pore size (nm),14.829562742174561,Lasso
Scaled_Id/Ig,13.774212073328652,Lasso
Scaled_N (at. %),14.913144820046316,Lasso
Scaled_O (at. %),8.300352963114458,Lasso
Scaled_Voltage window (V),6.47701054040049,BayesianRidge
Scaled_Specific surface area (m2/g),46.21094857093772,BayesianRidge
Scaled_Pore size (nm),14.527017701701505,BayesianRidge
Scaled_Id/Ig,13.61175746116226,BayesianRidge
Scaled_N (at. %),14.65860576039725,BayesianRidge
Scaled_O (at. %),8.995614897326233,BayesianRidge
Scaled_Voltage window (V),9.787109216269863,KNN
Scaled_Specific surface area (m2/g),36.69479058531748,KNN
Scaled_Pore size (nm),11.774334444444445,KNN
Scaled_Id/Ig,17.27557501488095,KNN
Scaled_N (at. %),15.662027435515853,KNN
Scaled_O (at. %),12.325344246031737,KNN
Scaled_Voltage window (V),2.132641865079361,DecisionTree
Scaled_Specific surface area (m2/g),53.22028507298753,DecisionTree
Scaled_Pore size (nm),23.843629545776622,DecisionTree
Scaled_Id/Ig,4.497508680555546,DecisionTree
Scaled_N (at. %),30.70070138888892,DecisionTree
Scaled_O (at. %),11.855975421626942,DecisionTree
Scaled_Voltage window (V),4.152482391970425,RandomForest
Scaled_Specific surface area (m2/g),35.267115426301544,RandomForest
Scaled_Pore size (nm),18.047075128535088,RandomForest
Scaled_Id/Ig,12.486100897893333,RandomForest
Scaled_N (at. %),22.6300448909758,RandomForest
Scaled_O (at. %),4.4590142434035664,RandomForest
Scaled_Voltage window (V),7.8421263455516135,ExtraTrees
Scaled_Specific surface area (m2/g),41.27046471801169,ExtraTrees
Scaled_Pore size (nm),11.525186457704846,ExtraTrees
Scaled_Id/Ig,11.152213407367501,ExtraTrees
Scaled_N (at. %),21.290779445285388,ExtraTrees
Scaled_O (at. %),9.362394743073164,ExtraTrees
Scaled_Voltage window (V),8.035772591836635,GradientBoosting
Scaled_Specific surface area (m2/g),45.34838027914118,GradientBoosting
Scaled_Pore size (nm),15.876954884532703,GradientBoosting
Scaled_Id/Ig,18.157045012078694,GradientBoosting
Scaled_N (at. %),28.547891720521168,GradientBoosting
Scaled_O (at. %),5.820988513730806,GradientBoosting
Scaled_Voltage window (V),2.41882973697471,AdaBoost
Scaled_Specific surface area (m2/g),30.422705211982418,AdaBoost
Scaled_Pore size (nm),14.578866023511287,AdaBoost
Scaled_Id/Ig,10.741843287510568,AdaBoost
Scaled_N (at. %),22.07653879358793,AdaBoost
Scaled_O (at. %),3.2994643054493014,AdaBoost
Scaled_Voltage window (V),2.057250703243325,HistGradientBoosting
Scaled_Specific surface area (m2/g),39.134977852615236,HistGradientBoosting
Scaled_Pore size (nm),22.987105727921058,HistGradientBoosting
Scaled_Id/Ig,22.380752860198605,HistGradientBoosting
Scaled_N (at. %),27.97499571275852,HistGradientBoosting
Scaled_O (at. %),7.461005745628033,HistGradientBoosting
Scaled_Voltage window (V),5.660454892642616,SVR
Scaled_Specific surface area (m2/g),38.409045542877145,SVR
Scaled_Pore size (nm),14.663865091719043,SVR
Scaled_Id/Ig,17.28329757859728,SVR
Scaled_N (at. %),20.177485110221113,SVR
Scaled_O (at. %),8.607902709119212,SVR
Scaled_Voltage window (V),10.37378833484453,MLP
Scaled_Specific surface area (m2/g),45.17096061771374,MLP
Scaled_Pore size (nm),8.631086307054595,MLP
Scaled_Id/Ig,22.127543020153954,MLP
Scaled_N (at. %),16.405115793839183,MLP
Scaled_O (at. %),12.907738257034207,MLP
Scaled_Voltage window (V),4.954425102267954,XGBoost
Scaled_Specific surface area (m2/g),35.854007481620414,XGBoost
Scaled_Pore size (nm),13.56667586562747,XGBoost
Scaled_Id/Ig,11.950100204626727,XGBoost
Scaled_N (at. %),24.572212775877535,XGBoost
Scaled_O (at. %),2.8885866718746342,XGBoost
