Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
ExtraTrees,True,0.5313123571230705,0.3997052300012073,64.00900524147812,54.283171428571436,0.29963423457776367,0.16492915547920153,"{'max_depth': None, 'n_estimators': 50}",
BayesianRidge,True,0.3156882382344267,0.3819188996499361,64.95035513997416,53.48992611401381,0.26790006826404855,0.1673546898736773,"{'alpha_1': 0.0001, 'lambda_1': 1e-06}",
Ridge,True,0.3447639734536913,0.3755871172698503,65.28219155504442,53.8857902833657,0.26978283302488487,0.16820971799805312,{'alpha': 100.0},
GradientBoosting,True,0.482675672342773,0.3577712005101036,66.20696601732571,53.41439942447995,0.2801962391629876,0.17059254320362202,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50}",
RandomForest,True,0.5257374444434076,0.35495199899377006,66.3521217558663,55.76889181346657,0.30869902085690476,0.17096655953585752,"{'max_depth': 5, 'n_estimators': 50}",
Lasso,True,0.3273931749148721,0.3525933108280157,66.47332293519659,54.310065562565065,0.27353734079995534,0.1712788532213259,{'alpha': 10.0},
AdaBoost,True,0.4530421209008012,0.314439667915983,68.40402205456331,55.94463729331573,0.3114770607604086,0.17625359972832597,"{'learning_rate': 0.05, 'n_estimators': 100}",
HistGradientBoosting,True,0.40954562312358406,0.2841103369194973,69.9007513442833,55.77221526585202,0.30086412578736405,0.1801101554864295,"{'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 100}",
XGBoost,True,0.46482839219329286,0.27052563871433555,70.56085170529933,59.697741971697134,0.29861085586218106,0.18181100671295883,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}",
SVR,True,0.3232922785811959,0.25434410920504436,71.33916548176911,59.498934515077885,0.3046649064973533,0.18381645318672793,"{'C': 0.1, 'kernel': 'linear'}",
DecisionTree,True,0.17991966258961545,0.25188055518140573,71.4569161542744,61.47738383838385,0.3186314166277763,0.1841198561048039,"{'max_depth': 3, 'min_samples_split': 10}",
KNN,True,0.20197130980486708,-0.04303181983250126,84.37379373935278,67.98775510204082,0.3839471396825817,0.21740219979219988,{'n_neighbors': 7},
MLP,True,0.08744651785840847,-1.078190049412187,119.0971663717461,88.55773567381017,0.3947028612228386,0.30687236890426717,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",
