Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Stacking_BayesianRidgeMeta,True,0.5656943451315346,0.4816273258840329,59.4812173095806,50.228882116913134,0.27258869545991665,0.15326260579639422,"{'extratrees__extratreesregressor__n_estimators': 100, 'final_estimator__alpha_1': 0.0001, 'final_estimator__lambda_1': 1e-05, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 40, 'ridge__ridge__alpha': 100.0}",
Stacking_LassoMeta,True,0.5601262788946726,0.45135541856587,61.1933663708436,51.46490927301459,0.2811061661095524,0.15767422409390258,"{'extratrees__extratreesregressor__max_depth': None, 'extratrees__extratreesregressor__n_estimators': 200, 'final_estimator__alpha': 1.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 20, 'ridge__ridge__alpha': 100.0}",
Stacking_RidgeMeta,True,0.5682688377083961,0.43919551649496513,61.867780585096085,50.0724963896942,0.27075285660298465,0.1594119571891164,"{'extratrees__extratreesregressor__max_depth': None, 'extratrees__extratreesregressor__n_estimators': 50, 'final_estimator__alpha': 10.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 20, 'ridge__ridge__alpha': 100.0}",
Stacking_CatBoostMeta,True,0.6003822495665458,0.42794675307524466,62.48518005118431,50.783346367861576,0.2710440742184859,0.16100278291982556,"{'final_estimator__depth': 5, 'final_estimator__iterations': 200, 'final_estimator__learning_rate': 0.05, 'gboost__gradientboostingregressor__learning_rate': 0.1, 'gboost__gradientboostingregressor__max_depth': 5, 'gboost__gradientboostingregressor__n_estimators': 80, 'ridge__ridge__alpha': 10.0}",
Stacking_ElasticNetMeta,True,0.5573657098962213,0.4049609815310329,63.72818068785195,52.64001120795316,0.27589896938971825,0.16420556734824002,"{'final_estimator__alpha': 0.1, 'final_estimator__l1_ratio': 0.5, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 50, 'ridge__ridge__alpha': 1.0}",
Stacking_DiverseBaseModels,True,0.5021055058917705,0.2656886768587371,70.79440086433816,58.470713787736315,0.31125693342267996,0.1824127824383874,"{'final_estimator__alpha': 10.0, 'gboost__gradientboostingregressor__learning_rate': 0.05, 'gboost__gradientboostingregressor__max_depth': 2, 'gboost__gradientboostingregressor__n_estimators': 80, 'mlp__mlpregressor__alpha': 0.01, 'mlp__mlpregressor__hidden_layer_sizes': (100,), 'svr__svr__C': 10, 'svr__svr__kernel': 'rbf'}",
Stacking_MLPMeta,True,0.5239057884599485,-0.13704375297891347,88.0942142669613,67.7754212121488,0.31191184591516447,0.2269884418112891,"{'extratrees__extratreesregressor__n_estimators': 100, 'final_estimator__alpha': 0.01, 'final_estimator__hidden_layer_sizes': (100, 50), 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 4, 'gboost__gradientboostingregressor__n_estimators': 60, 'ridge__ridge__alpha': 10.0}",
