Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Stacking_LassoMeta,True,0.5486921349303155,0.5482410968896412,55.52801621591334,43.43698605957528,0.230333339181108,0.14307656845120675,{'final_estimator__alpha': 10.0},
Stacking_BayesianRidgeMeta,True,0.5597409792526117,0.5247470959106577,56.953600920853404,44.352866290473386,0.23289219280545395,0.1467498091235594,"{'final_estimator__alpha_1': 1e-06, 'final_estimator__lambda_1': 1e-05}",
Stacking_MLPMeta,True,0.577565050600203,0.5197529937862354,57.25206177462791,46.36373722846968,0.23526943123959745,0.14751883992431825,"{'final_estimator__alpha': 0.001, 'final_estimator__hidden_layer_sizes': (50,)}",
Stacking_RidgeMeta,True,0.5579284644056359,0.45221222507462466,61.14556551541061,48.99894348525369,0.2624037466090355,0.15755105775679104,{'final_estimator__alpha': 10.0},
