Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Stacking_MLPMeta,True,0.5264512477765173,0.4912511594783734,58.9264820663115,47.40995268690717,0.2576408940827139,0.15183324418013786,"{'final_estimator__alpha': 0.0001, 'final_estimator__hidden_layer_sizes': (100,)}",
Stacking_BayesianRidgeMeta,True,0.5107134566949002,0.48443013236919796,59.32019386583945,48.353711209706105,0.2535981690855637,0.15284770385426294,"{'final_estimator__alpha_1': 1e-05, 'final_estimator__lambda_1': 1e-06}",
Stacking_RidgeMeta,True,0.49592868486529407,0.4609285901034813,60.657142566316885,48.887505086237965,0.256034480636674,0.15629256007811615,{'final_estimator__alpha': 10.0},
Stacking_LassoMeta,True,0.4860542658080524,0.4530077468355508,61.10115022972798,48.86002507500933,0.2591218466627521,0.15743661486660132,{'final_estimator__alpha': 1.0},
