Scaled_Voltage window (V),Scaled_Specific surface area (m2/g),Scaled_Pore size (nm),Scaled_Id/Ig,Scaled_N (at. %),Scaled_O (at. %),Capacitance (F/g)
2.804439059225448,-0.7666101342515875,-1.0024069771436248,-0.7806905555070491,-0.6903255698814684,-0.948747465997404,1.9
-0.4180062580185668,0.6012471754609017,0.26860223304152414,-0.7591873013537329,-0.5599484284624051,0.1297084410640642,238.2
-0.1700016655212851,-1.1624865833686826,2.2754588807022857,-0.9345867273474556,-0.6903255698814684,-0.948747465997404,137.0
-0.4180062580185668,-0.3595056104080719,0.7168002176857609,0.7831075868352434,2.9013884908874856,-0.21134898695774082,166.7
-0.1700016655212851,0.3793480079294772,0.06791656827544808,0.37059453382135027,0.8460104749485761,-0.04890018707703068,302.0
-0.1700016655212851,-0.8395578939690125,3.486262391457612,0.0345756711728384,-0.3661445695962297,0.3066160346514344,148.0
-0.1700016655212851,-0.9900140953030476,-1.0960602873677938,-0.4698340234921787,-0.6903255698814684,-0.948747465997404,127.6
-0.6794228688777361,2.010312676952831,0.13481178986413989,-0.5503641118905642,0.11307951778194912,0.7522870877273093,330.0
3.750869867839928,0.8052045740995922,-1.0358545879379708,-0.20025739739373138,-0.6550885046330729,0.11780119918799115,140.0
-0.1700016655212851,-0.8786593748204027,0.5562516858729001,2.644912190960905,0.4020234528187924,-0.40441640880549573,184.0
-0.1700016655212851,-0.7469320651434279,-0.6010356476114727,-0.4104970049948505,1.3604716275751505,1.0720815838275555,175.0
-0.1700016655212851,-1.3181053840099175,1.238582946077559,-1.5653237053553197,0.33154932232200135,0.13991464838641257,270.0
-0.4180062580185668,2.034620879968793,0.46928789780760016,-0.4698340234921787,-0.10186658023326346,0.2419767216098953,312.0
-0.1700016655212851,0.49973148953233654,-0.19297479592045103,-0.6743273130675709,-0.3379549173975134,0.12290430284916533,266.0
-0.1700016655212851,-0.7538772660051313,-1.0157860214613632,-0.5707560816780177,0.37031009409523635,0.5838846669085627,325.0
2.804439059225448,0.27632752848087644,-1.0024069771436248,-0.7165291845664836,-0.6903255698814684,0.4971319046686023,115.0
-1.2489073231292065,-0.2665556722089411,-0.9355117555549329,0.0345756711728384,-0.6903255698814684,-0.948747465997404,125.0
-0.1700016655212851,0.5275122929791503,-1.069302198732317,1.7779758571942241,-0.6903255698814684,-0.3363750266565072,220.0
4.260291071196378,1.7888765228121866,0.07460609043431714,0.8120149496177421,-0.5106165371146514,-0.08632294725897433,344.1
-0.1700016655212851,-0.05356951245003615,-0.8686165339662407,-0.4104970049948505,2.5514844329709185,1.6878560922759014,236.0
-0.6794228688777361,1.8466374433120203,-0.9890279328258864,-0.5503641118905642,-0.0032027975377560184,0.5141422502058494,374.7
-0.4180062580185668,-0.7666101342515875,-1.0024069771436248,-0.7806905555070491,-0.6903255698814684,-0.948747465997404,174.4
-0.1700016655212851,-1.1208153781984622,-0.9890279328258864,-0.018389384095956224,-0.5000454175401327,-0.6425612463269557,22.2
-0.1700016655212851,-1.0467332356736256,-1.0626126765734478,-0.5789424692031969,-0.6903255698814684,-0.948747465997404,198.0
-0.4180062580185668,-0.21018379188144828,-0.13276909649062826,-0.7378005965756165,-0.37671568917074844,0.6247094961979558,198.2
-0.4180062580185668,-0.49273771360508256,0.3154288881536085,0.4973793320782453,2.8619229778092827,-0.34998330308630493,222.6
-1.2489073231292065,0.137423511246808,-0.3334547612567043,-0.28491508173092583,-0.6903255698814684,-0.948747465997404,200.0
-0.4180062580185668,0.4893136882397814,-0.08594244137854379,0.25621442751086726,-0.11243769980778212,2.2798161169721016,304.0
-0.1700016655212851,1.37945693201477,0.40239267621890834,-0.5503641118905642,1.5296095407674488,0.6162043234293321,341.0
-0.1700016655212851,0.12121804256949999,1.245272468236428,-0.6743273130675709,0.5324005942378558,1.2115664172329819,289.0
-0.1700016655212851,1.6699978347293634,0.08798513475205556,-0.20025739739373138,-0.6903255698814684,-0.948747465997404,307.0
