DOI,Materials-1,Materials-2,Voltage window (V),Specific surface area (m2/g),Pore size (nm),Id/Ig,N (at. %),O (at. %),Capacitance (F/g)
10.1039/c6ta06337c,NS-doped porous carbon,,0.8,3068,2.8,0.98,1.67,7,255
10.1039/c6ta06337c,NS-doped porous carbon,,0.9,3068,2.8,0.98,1.67,7,312
10.1021/acsami.6b08511,carbon nanoparticle,rgo,0.8,192.7,3.78,0.98,0.89,9.39,310.8
10.1021/acsami.6b10893,AC,,1,2033,2,0.99,0.8,5.6,374
10.1002/adma.201600586,AC,rgo,0.8,2582,0.48,1,1.27,8.66,227
10.1002/adma.201600586,AC,rgo,3.5,2582,0.48,1,1.27,8.66,188
10.1039/c3cc44175j,porous carbon,,0.8,854,1.2,1,6.7,4.1,131
10.1039/c6ra13689c,NOP-doped porous carbon,,0.9,2335,2.6,1,1.1,11,315
10.1038/srep31555,N-doped graphene,,1,190.38,4.01,1,3.2,11.3,290
10.1002/ chem.201702544,porous carbon,,1,1684,1.86,1.008,1.15,4.43,224
10.1039/c7ra07984b,N-doped porous carbon,,1,1264,0.8,1.01,9.2,15.5,236
10.1039/c7ta05710e,N-doped porous carbon,,1,665,1.2,1.01,5.82,11.88,175
10.1039/c4ta02167c,3D porous carbon,,1,477,1.96,1.01,0,0,80
10.1002/ chem.201702544,porous carbon,,1,1417,2.22,1.01,1.99,10.13,190
10.1021/acsami.6b08511,carbon nanoparticle,rgo,0.8,196.5,3.78,1.01,0,0,185
10.1039/c7ra07984b,N-doped porous carbon,,1,2695,1.1,1.02,3.4,17.5,263
10.1002/ chem.201702544,porous carbon,,1,1325,1.33,1.02,1.17,8.1,159
10.1021/acsami.7b09801,N-doped porous carbon,,1,1245,2.1,1.02,5.72,6.05,292
10.1007/s10800-015-0850-z,porous carbon,,1,1456,3.7,1.02,0,0,245
10.1039/c4ta00936c,NB-doped graphene,,1,341,0.62,1.03,1.02,2.85,29.6
10.1039/c4ta00936c,NB-doped graphene,,1,341,0.62,1.03,1.02,2.85,29.7
