Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Stacking_MLPMeta,True,0.5905023050854602,0.5664758876305926,54.39580734407113,44.05053639072272,0.23259213184205546,0.14015925623311293,"{'extratrees__extratreesregressor__n_estimators': 100, 'final_estimator__alpha': 0.01, 'final_estimator__hidden_layer_sizes': (50,), 'gboost__gradientboostingregressor__learning_rate': 0.05, 'gboost__gradientboostingregressor__max_depth': 7, 'gboost__gradientboostingregressor__n_estimators': 60, 'ridge__ridge__alpha': 10.0}",
Stacking_BayesianRidgeMeta,True,0.6088050460934962,0.540081134404869,56.02726340594542,45.80275188839173,0.24405969290860455,0.14436295646984132,"{'extratrees__extratreesregressor__n_estimators': 100, 'final_estimator__alpha_1': 1e-05, 'final_estimator__lambda_1': 1e-05, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 40, 'ridge__ridge__alpha': 1.0}",
Stacking_RidgeMeta,True,0.6271761204383479,0.5384571861285381,56.12609084054916,46.83163185908046,0.25154054071527127,0.14461760072287852,"{'extratrees__extratreesregressor__max_depth': 10, 'extratrees__extratreesregressor__n_estimators': 50, 'final_estimator__alpha': 100.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 50, 'ridge__ridge__alpha': 0.1}",
Stacking_LassoMeta,True,0.6232479394514463,0.511429615989599,57.74606120942785,48.617298567949135,0.2609824890798606,0.14879170628556518,"{'extratrees__extratreesregressor__max_depth': None, 'extratrees__extratreesregressor__n_estimators': 50, 'final_estimator__alpha': 10.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 50, 'ridge__ridge__alpha': 1.0}",
Stacking_ElasticNetMeta,True,0.6175028726657767,0.4793951007600745,59.60914924084989,49.45083172387242,0.2715391295523674,0.15359224231087318,"{'final_estimator__alpha': 1.0, 'final_estimator__l1_ratio': 0.1, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 20, 'ridge__ridge__alpha': 10.0}",
Stacking_CatBoostMeta,True,0.6020903660028197,0.4331055461505071,62.20279537148389,49.54134307685719,0.26816074571338666,0.1602751748814323,"{'final_estimator__depth': 3, 'final_estimator__iterations': 100, 'final_estimator__learning_rate': 0.05, 'gboost__gradientboostingregressor__learning_rate': 0.05, 'gboost__gradientboostingregressor__max_depth': 2, 'gboost__gradientboostingregressor__n_estimators': 50, 'ridge__ridge__alpha': 10.0}",
Stacking_DiverseBaseModels,True,0.6094038933725472,0.4019141876862412,63.89112690467252,52.791998399784234,0.2691459303171618,0.16462542361420385,"{'final_estimator__alpha': 10.0, 'gboost__gradientboostingregressor__learning_rate': 0.01, 'gboost__gradientboostingregressor__max_depth': 1, 'gboost__gradientboostingregressor__n_estimators': 30, 'mlp__mlpregressor__alpha': 0.01, 'mlp__mlpregressor__hidden_layer_sizes': (100,), 'svr__svr__C': 100, 'svr__svr__kernel': 'rbf'}",
