Feature,Mean Importance,Model
Materials-1,0.2601440212619585,Ridge
Materials-2,0.5685431233614465,Ridge
Voltage window (V),1.8057375232976476,Ridge
Specific surface area (m2/g),45.586948365778504,Ridge
Pore size (nm),11.93868125335827,Ridge
Id/Ig,4.314881027825943,Ridge
N (at. %),13.943919929578827,Ridge
O (at. %),11.971895565922738,Ridge
Materials-1,1.5479681029059324e-14,Lasso
Materials-2,1.1022928601635483e-14,Lasso
Voltage window (V),9.547918011776346e-15,Lasso
Specific surface area (m2/g),44.622549584947436,Lasso
Pore size (nm),12.253921813309821,Lasso
Id/Ig,1.7743582399060462,Lasso
N (at. %),12.818186720322428,Lasso
O (at. %),11.863605059647755,Lasso
Materials-1,0.35714304092914795,BayesianRidge
Materials-2,0.6602056317253551,BayesianRidge
Voltage window (V),2.0532678482945084,BayesianRidge
Specific surface area (m2/g),45.93375225889095,BayesianRidge
Pore size (nm),12.5638216888206,BayesianRidge
Id/Ig,4.9091480062916535,BayesianRidge
N (at. %),14.187147828945816,BayesianRidge
O (at. %),11.665513838881102,BayesianRidge
Materials-1,0.16339681729837635,KNN
Materials-2,7.581237225297498e-15,KNN
Voltage window (V),0.23365382653059288,KNN
Specific surface area (m2/g),48.30233815901373,KNN
Pore size (nm),0.011391921768710126,KNN
Id/Ig,0.0009704142371266504,KNN
N (at. %),0.05227914540816549,KNN
O (at. %),0.2948551020408155,KNN
Materials-1,1.554312234475219e-14,DecisionTree
Materials-2,8.227545628918571e-15,DecisionTree
Voltage window (V),2.132641865079358,DecisionTree
Specific surface area (m2/g),53.1869136284722,DecisionTree
Pore size (nm),23.452560499929138,DecisionTree
Id/Ig,4.331379712301575,DecisionTree
N (at. %),31.498378208262498,DecisionTree
O (at. %),11.739581141935913,DecisionTree
Materials-1,1.8389225273774035,RandomForest
Materials-2,0.195783032312927,RandomForest
Voltage window (V),4.516384461075693,RandomForest
Specific surface area (m2/g),34.706240179032044,RandomForest
Pore size (nm),18.168580811911845,RandomForest
Id/Ig,13.762497264503626,RandomForest
N (at. %),21.57253717099099,RandomForest
O (at. %),4.3286390068204295,RandomForest
Materials-1,6.1076020012383045,ExtraTrees
Materials-2,0.9924027349383494,ExtraTrees
Voltage window (V),7.893816233822277,ExtraTrees
Specific surface area (m2/g),40.52191484509456,ExtraTrees
Pore size (nm),11.809453839221943,ExtraTrees
Id/Ig,9.855676454389867,ExtraTrees
N (at. %),21.92377146578443,ExtraTrees
O (at. %),9.029261131048033,ExtraTrees
Materials-1,1.5046162176000517,GradientBoosting
Materials-2,1.3298885802117054e-14,GradientBoosting
Voltage window (V),5.635434404195984,GradientBoosting
Specific surface area (m2/g),38.48381083966712,GradientBoosting
Pore size (nm),14.459918963515378,GradientBoosting
Id/Ig,13.01647818833772,GradientBoosting
N (at. %),25.656546707949467,GradientBoosting
O (at. %),1.682799077261191,GradientBoosting
Materials-1,0.6169444865039371,AdaBoost
Materials-2,0.05474289053655015,AdaBoost
Voltage window (V),0.5261972482103202,AdaBoost
Specific surface area (m2/g),30.512613032210034,AdaBoost
Pore size (nm),16.45638333456647,AdaBoost
Id/Ig,9.966946326937347,AdaBoost
N (at. %),21.00683793051126,AdaBoost
O (at. %),2.2757342892572874,AdaBoost
Materials-1,1.5269193383771673,HistGradientBoosting
Materials-2,1.003165804393445e-14,HistGradientBoosting
Voltage window (V),1.9352103292579628,HistGradientBoosting
Specific surface area (m2/g),38.73872472286392,HistGradientBoosting
Pore size (nm),21.86698311026507,HistGradientBoosting
Id/Ig,20.999718757399883,HistGradientBoosting
N (at. %),28.16277449477231,HistGradientBoosting
O (at. %),6.587153753620903,HistGradientBoosting
Materials-1,3.4601796546647656,SVR
Materials-2,0.030964285716770533,SVR
Voltage window (V),0.1890362383202028,SVR
Specific surface area (m2/g),45.339379697386924,SVR
Pore size (nm),3.111854102754139,SVR
Id/Ig,0.791442376658356,SVR
N (at. %),7.94822667548281,SVR
O (at. %),12.697931355016992,SVR
Materials-1,13.270104211747975,MLP
Materials-2,0.37775982618209153,MLP
Voltage window (V),0.6623106254502547,MLP
Specific surface area (m2/g),64.59499286058633,MLP
Pore size (nm),4.428963554276189,MLP
Id/Ig,0.8612097103501116,MLP
N (at. %),9.03656285132549,MLP
O (at. %),14.483690661220871,MLP
Materials-1,2.1996939006881786,XGBoost
Materials-2,0.02627706702225846,XGBoost
Voltage window (V),4.717807536220065,XGBoost
Specific surface area (m2/g),36.2037261264608,XGBoost
Pore size (nm),13.68749412196996,XGBoost
Id/Ig,12.052660581596857,XGBoost
N (at. %),25.475119941869547,XGBoost
O (at. %),3.162204377743662,XGBoost
