Feature,Mean Importance,Model
Scaled_Voltage window (V),6.917401333885034,Ridge
Scaled_Specific surface area (m2/g),41.097945682139446,Ridge
Scaled_Pore size (nm),17.06544714709491,Ridge
Scaled_Id/Ig,16.535074432040435,Ridge
Scaled_N (at. %),12.848135452745389,Ridge
Scaled_O (at. %),8.856781597830352,Ridge
Scaled_Voltage window (V),7.096733183558437,Lasso
Scaled_Specific surface area (m2/g),44.717985098727304,Lasso
Scaled_Pore size (nm),18.087945614799224,Lasso
Scaled_Id/Ig,17.828469804891657,Lasso
Scaled_N (at. %),13.746137492830211,Lasso
Scaled_O (at. %),7.560039190704506,Lasso
Scaled_Voltage window (V),7.157867073764306,BayesianRidge
Scaled_Specific surface area (m2/g),43.20609114609468,BayesianRidge
Scaled_Pore size (nm),17.75304612322428,BayesianRidge
Scaled_Id/Ig,17.528469274137084,BayesianRidge
Scaled_N (at. %),13.540215307267731,BayesianRidge
Scaled_O (at. %),8.379047851441474,BayesianRidge
Scaled_Voltage window (V),9.11279394335512,KNN
Scaled_Specific surface area (m2/g),35.68487325163401,KNN
Scaled_Pore size (nm),11.67853964596949,KNN
Scaled_Id/Ig,19.848387358387818,KNN
Scaled_N (at. %),14.807812145969484,KNN
Scaled_O (at. %),12.49995973311547,KNN
Scaled_Voltage window (V),4.1956105664487815,DecisionTree
Scaled_Specific surface area (m2/g),32.62306657135071,DecisionTree
Scaled_Pore size (nm),26.141882775054473,DecisionTree
Scaled_Id/Ig,27.187079983660148,DecisionTree
Scaled_N (at. %),27.592085062636176,DecisionTree
Scaled_O (at. %),4.289031876361662,DecisionTree
Scaled_Voltage window (V),2.8643595626906473,RandomForest
Scaled_Specific surface area (m2/g),33.6064472699191,RandomForest
Scaled_Pore size (nm),17.264990101657332,RandomForest
Scaled_Id/Ig,21.221103882788668,RandomForest
Scaled_N (at. %),20.83011586138344,RandomForest
Scaled_O (at. %),2.9631577707516277,RandomForest
Scaled_Voltage window (V),6.925530065849668,ExtraTrees
Scaled_Specific surface area (m2/g),36.885423847712424,ExtraTrees
Scaled_Pore size (nm),14.047216514379087,ExtraTrees
Scaled_Id/Ig,16.276930373366017,ExtraTrees
Scaled_N (at. %),17.748033350980382,ExtraTrees
Scaled_O (at. %),9.57341056732026,ExtraTrees
Scaled_Voltage window (V),5.789885128690612,GradientBoosting
Scaled_Specific surface area (m2/g),40.93522018360387,GradientBoosting
Scaled_Pore size (nm),14.898126917240354,GradientBoosting
Scaled_Id/Ig,22.91281661959395,GradientBoosting
Scaled_N (at. %),29.587034346872215,GradientBoosting
Scaled_O (at. %),9.226789132052538,GradientBoosting
Scaled_Voltage window (V),2.511587905232943,AdaBoost
Scaled_Specific surface area (m2/g),31.250146402592147,AdaBoost
Scaled_Pore size (nm),15.059339406383138,AdaBoost
Scaled_Id/Ig,15.322701065940205,AdaBoost
Scaled_N (at. %),18.181141530202726,AdaBoost
Scaled_O (at. %),3.4423177777059353,AdaBoost
Scaled_Voltage window (V),2.9297833862061,HistGradientBoosting
Scaled_Specific surface area (m2/g),40.284886073827664,HistGradientBoosting
Scaled_Pore size (nm),20.61226959711668,HistGradientBoosting
Scaled_Id/Ig,28.448598265708686,HistGradientBoosting
Scaled_N (at. %),33.32321637367797,HistGradientBoosting
Scaled_O (at. %),13.24870186703727,HistGradientBoosting
Scaled_Voltage window (V),4.832907115416775,SVR
Scaled_Specific surface area (m2/g),40.51667218329343,SVR
Scaled_Pore size (nm),13.994120055742586,SVR
Scaled_Id/Ig,19.89869538652445,SVR
Scaled_N (at. %),21.550558736290526,SVR
Scaled_O (at. %),8.519474182817838,SVR
Scaled_Voltage window (V),17.309936298001425,MLP
Scaled_Specific surface area (m2/g),42.302380969828214,MLP
Scaled_Pore size (nm),20.661293562034892,MLP
Scaled_Id/Ig,17.968308462921524,MLP
Scaled_N (at. %),17.340972195448526,MLP
Scaled_O (at. %),14.182584525618696,MLP
Scaled_Voltage window (V),4.55416885306164,XGBoost
Scaled_Specific surface area (m2/g),39.59525990611431,XGBoost
Scaled_Pore size (nm),13.81616508909612,XGBoost
Scaled_Id/Ig,17.634980931051405,XGBoost
Scaled_N (at. %),21.285246622023244,XGBoost
Scaled_O (at. %),1.8010851666194956,XGBoost
