iter	Passed	Remaining
0	68	6777
1	68	3360
2	68	2220
3	68	1650
4	68	1308
5	68	1080
6	69	917
7	69	795
8	69	700
9	69	624
10	69	561
11	69	509
12	69	465
13	69	428
14	69	395
15	69	366
16	69	341
17	70	319
18	70	299
19	70	281
20	70	264
21	70	249
22	70	236
23	70	223
24	70	212
25	70	201
26	70	191
27	71	182
28	71	174
29	71	166
30	71	158
31	71	151
32	71	145
33	71	138
34	71	132
35	71	127
36	71	122
37	71	117
38	71	112
39	71	107
40	72	103
41	72	99
42	72	95
43	72	92
44	72	88
45	72	85
46	72	81
47	72	78
48	72	75
49	72	72
50	72	70
51	72	67
52	73	64
53	73	62
54	73	59
55	73	57
56	73	55
57	73	53
58	73	51
59	73	49
60	73	47
61	73	45
62	73	43
63	73	41
64	74	39
65	74	38
66	74	36
67	74	34
68	74	33
69	74	31
70	74	30
71	74	28
72	74	27
73	74	26
74	74	24
75	74	23
76	74	22
77	75	21
78	75	19
79	75	18
80	75	17
81	75	16
82	75	15
83	75	14
84	75	13
85	75	12
86	75	11
87	75	10
88	75	9
89	75	8
90	76	7
91	76	6
92	76	5
93	76	4
94	76	4
95	76	3
96	76	2
97	76	1
98	76	0
99	76	0
