iter	RMSE
0	92.86333511
1	90.67763305
2	89.14409636
3	87.19181154
4	85.80630692
5	84.35193737
6	82.38360213
7	80.92010555
8	79.34645773
9	77.95534637
10	76.31919964
11	75.0957889
12	74.03291763
13	72.95336836
14	71.91746216
15	70.95374107
16	69.89138621
17	68.88739799
18	67.97097507
19	67.13913671
20	66.22502418
21	65.15649734
22	64.3327898
23	63.54474491
24	62.53824557
25	61.77647875
26	61.18751227
27	60.61756164
28	60.02040652
29	59.4310044
30	58.91230281
31	58.38295329
32	58.03259809
33	57.6014844
34	57.16978587
35	56.8632945
36	56.41644237
37	56.02371506
38	55.53954105
39	55.09857604
40	54.80823461
41	54.49937846
42	54.2320422
43	53.89445288
44	53.52834982
45	53.13316931
46	52.84992913
47	52.52535046
48	52.27956728
49	51.91172249
50	51.66507099
51	51.43126956
52	51.19159901
53	51.03524071
54	50.58629134
55	50.41652243
56	50.16369682
57	49.80857888
58	49.47199676
59	49.24908625
60	48.98016217
61	48.83887084
62	48.62991598
63	48.51285432
64	48.37893207
65	48.15686417
66	48.10123867
67	47.82851482
68	47.61149856
69	47.26441568
70	46.97380023
71	46.82778
72	46.58231808
73	46.46303293
74	46.24720331
75	45.92236245
76	45.82276272
77	45.71929275
78	45.43450118
79	45.25974255
80	45.09851108
81	44.87814458
82	44.76935221
83	44.65965813
84	44.46949508
85	44.38355593
86	44.23959546
87	44.1222569
88	43.92674462
89	43.77178486
90	43.58705065
91	43.43740603
92	43.39650532
93	43.29783427
94	43.18350358
95	43.10553701
96	42.84598942
97	42.72448691
98	42.44532292
99	42.27726137
